Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes,Sentiment,Text
Software Developer Cloud,Chennai,Full Time,Software Development Department,4 Sep 2023,1.0,1.0,1.0,3.0,1.0,1.0,2.0,company culture is terrible please dont join here and waste your life no cab facilities for normal shift,no process hectic work load one individual mapped to 4projects at a time saying 25 allocation each,-1,company culture is terrible please dont join here and waste your life no cab facilities for normal shift no process hectic work load one individual mapped to 4projects at a time saying 25 allocation each
Team Manager,Chennai,Full Time,Retail & B2C Sales Department,2 Sep 2023,3.0,3.0,2.0,4.0,2.0,3.0,2.0,employee benefits  policies,the employee policies are good but the middle level management doesnt allow employees to work as per policy  utilise the benefits hr department doesnt care if employee benefits are communicated  utilised which results in dissatisfaction  attrition,0,employee benefits  policies the employee policies are good but the middle level management doesnt allow employees to work as per policy  utilise the benefits hr department doesnt care if employee benefits are communicated  utilised which results in dissatisfaction  attrition
Engineering Manager Engineering Head Mechanical Architect,"Pune, Maharashtra",Full Time,Connected care Department,0 Sep 2023,3.0,4.0,4.0,4.0,3.0,1.0,1.0,work life balance,no growth opportunity work quality is not as per experience level after 15 experience they will consider you as cad engineer even though your designation is good lot of wastage of resources leaders are nonsense,0,work life balance no growth opportunity work quality is not as per experience level after 15 experience they will consider you as cad engineer even though your designation is good lot of wastage of resources leaders are nonsense
Marketing Manager,"Mumbai, Maharashtra",Full Time,Marketing Department,7 Sep 2023,1.0,2.0,1.0,3.0,3.0,1.0,2.0,salary decent work life balance and benefits,its almost a startup culture nothing is organised or structured higher management is putting out fires everywhere terribly unorganised for such an old mnc,-1,salary decent work life balance and benefits its almost a startup culture nothing is organised or structured higher management is putting out fires everywhere terribly unorganised for such an old mnc
Product Costing BPE,Chennai,Full Time,Operations Department,3 Sep 2023,5.0,5.0,5.0,5.0,5.0,4.0,5.0,can get more chance to explore different domain there is a big finance set up you can ask for changes in your process every 24 months,what i dont like is people are not moving out of the process even after so many years which is an issue and can find domination on other new members hr must take some strick action toward people movement from the respecting unit to different,1,can get more chance to explore different domain there is a big finance set up you can ask for changes in your process every 24 months what i dont like is people are not moving out of the process even after so many years which is an issue and can find domination on other new members hr must take some strick action toward people movement from the respecting unit to different
Digital Marketing Lead,"Gurgaon/Gurugram, Haryana",Full Time,Digital Marketing Department,1 Sep 2023,1.0,3.0,1.0,2.0,1.0,1.0,1.0,"managers gives freedom to work
healthy work life balance
well structured process","highly politicised organisation
people who can play politics can only survive
extreme hire n fire culture
no one comes to office",-1,"managers gives freedom to work
healthy work life balance
well structured process highly politicised organisation
people who can play politics can only survive
extreme hire n fire culture
no one comes to office"
Software Architect,Bengaluru/Bangalore,Full Time,Software Development Department,0 Aug 2023,1.0,1.0,1.0,2.0,1.0,1.0,1.0,company brand name,"hostile work culture
unprofessional managers with top micromanagement skills and full bias towards old employees
existing employees who are 7 exp in philips who are highly unprofessional insecure with halfknowledge will do anything to secure their job and will shout at colleagues in the meetings these employees are spoiling thebrand name of philips and have the full support of software leaders
hr heads are there without any power who are puppets in the hands of managers
no job security you will be thrown out of the company if you bring the actual situation about unprofessional idiotic behavior of insecure old employeesread more",-1,"company brand name hostile work culture
unprofessional managers with top micromanagement skills and full bias towards old employees
existing employees who are 7 exp in philips who are highly unprofessional insecure with halfknowledge will do anything to secure their job and will shout at colleagues in the meetings these employees are spoiling thebrand name of philips and have the full support of software leaders
hr heads are there without any power who are puppets in the hands of managers
no job security you will be thrown out of the company if you bring the actual situation about unprofessional idiotic behavior of insecure old employeesread more"
Software Engineer Ii,Bengaluru/Bangalore,Full Time,Software Development Department,5 Aug 2023,4.0,5.0,4.0,4.0,3.0,4.0,4.0,if the team is good everything will be good,there is a team called connect iot or iot or connect whatever they call that is the worst team i ever worked with for people who are joining philips be careful do not go to this team they have the worst culture this team is known for people resigning very often even 10 yrs exp people are resigning after joining this teameven senior management and leadership also know about this team but no action has been taken because they are favorable to a few people and dont want them to leave due to this employees are resigning and the company is losing peopleread more,1,if the team is good everything will be good there is a team called connect iot or iot or connect whatever they call that is the worst team i ever worked with for people who are joining philips be careful do not go to this team they have the worst culture this team is known for people resigning very often even 10 yrs exp people are resigning after joining this teameven senior management and leadership also know about this team but no action has been taken because they are favorable to a few people and dont want them to leave due to this employees are resigning and the company is losing peopleread more
Sr. Software Technologist I,Bengaluru/Bangalore,Full Time,Software Development Department,3 Aug 2023,4.0,3.0,5.0,3.0,5.0,4.0,3.0,philips has lot of employee friendly policies and they do value their employees a lot,increase the employee salary as per current market trends its becoming very difficult to retain good resources,1,philips has lot of employee friendly policies and they do value their employees a lot increase the employee salary as per current market trends its becoming very difficult to retain good resources
Mechanical Designer,Pune,Full Time,Engineering & Manufacturing Department,3 Aug 2023,3.0,3.0,4.0,4.0,3.0,3.0,3.0,good experience in medical devices design and manufacturing processes,"like most places your career growth depends on your manager
hr is virtual nobody will physically adress or even hear out your concerns
hr works for management
too much focus on quality and regulations due to which rd and innovation is compromised",0,"good experience in medical devices design and manufacturing processes like most places your career growth depends on your manager
hr is virtual nobody will physically adress or even hear out your concerns
hr works for management
too much focus on quality and regulations due to which rd and innovation is compromised"
Process Quality Engineering Manager,Bangalore/Bengaluru,Full Time,Engineering Department,2 Aug 2023,5.0,5.0,2.0,4.0,4.0,5.0,3.0,people in philips having a great work life harmony as there are less work and company runs very slow nobody questions of any delay in actions and you can do lot in your personal life if you are in philips,poor work content complex organization structure more follow up leaders are not aligned with organization goal and play their own politics poor response from hr function no skill development post cg60 grade,1,people in philips having a great work life harmony as there are less work and company runs very slow nobody questions of any delay in actions and you can do lot in your personal life if you are in philips poor work content complex organization structure more follow up leaders are not aligned with organization goal and play their own politics poor response from hr function no skill development post cg60 grade
Director Sustaining &  Global Sourcing,Pune,Full Time,Engineering Department,8 Aug 2023,1.0,1.0,1.0,2.0,1.0,1.0,1.0,nothing the india branch has one of the highest turnover  hostile work culture women harassment issue,everything women harassment is very open and they do not do anything in philips hic infact they harass the victim more  hr is just spectator,-1,nothing the india branch has one of the highest turnover  hostile work culture women harassment issue everything women harassment is very open and they do not do anything in philips hic infact they harass the victim more  hr is just spectator
Key Account Manager,Gurgaon/Gurugram,Full Time,Sales Support & Operations Department,5 Aug 2023,1.0,3.0,2.0,1.0,1.0,1.0,1.0,"heritage brand
still hold reputation in consumers","corporate culture is worst
no reward for high potential and high performer
few few people will be given all credits irrespective of performance",-1,"heritage brand
still hold reputation in consumers corporate culture is worst
no reward for high potential and high performer
few few people will be given all credits irrespective of performance"
Regulatory Affairs Manager,Pune,Full Time,Other Department,4 Aug 2023,3.0,1.0,1.0,1.0,1.0,1.0,1.0,in regulatory side no proper management indian reviews who are not knowing any thing on products like mri are spoiling careeres of other and its a major flop show such reviews like neena how those are allowed to play with others career latest lay off was based on whatnot clear not expected form so called mnc like philips no actions will be taken on such prejudiced reviewers,ra management is pathetic and reviews are not proper and they are enjoying jobs by ruining others life looks senior management is not knowing or do not want to know i was informed that i am laid off the reasoning is not understood why other ra lead did my review and i did not agreed to the review i did not signed off,0,in regulatory side no proper management indian reviews who are not knowing any thing on products like mri are spoiling careeres of other and its a major flop show such reviews like neena how those are allowed to play with others career latest lay off was based on whatnot clear not expected form so called mnc like philips no actions will be taken on such prejudiced reviewers ra management is pathetic and reviews are not proper and they are enjoying jobs by ruining others life looks senior management is not knowing or do not want to know i was informed that i am laid off the reasoning is not understood why other ra lead did my review and i did not agreed to the review i did not signed off
Head - Healthcare Transformation Services,Gurgaon/Gurugram,Full Time,Other Department,3 Aug 2023,3.0,5.0,2.0,5.0,1.0,3.0,2.0,work lice balance,"appraisal system
growth learning opportunities
disaligned priorities to indian healthcare ways of working
backend functions lead decision making have larger control than front end functions revenue earning functions",0,"work lice balance appraisal system
growth learning opportunities
disaligned priorities to indian healthcare ways of working
backend functions lead decision making have larger control than front end functions revenue earning functions"
